asset,geometric_distance
SPY,0.0
SI=F,inf
SLV,inf
SIVR,inf
SIL,inf
SILJ,inf
GC=F,inf
HG=F,inf
DX-Y.NYB,inf
^TNX,inf
^IRX,inf
^VIX,inf
QQQ,inf
