asset,geometric_distance
SI=F,0.0
SLV,inf
SIVR,inf
SIL,inf
SILJ,inf
GC=F,inf
HG=F,inf
DX-Y.NYB,inf
^TNX,inf
^IRX,inf
^VIX,inf
SPY,inf
QQQ,inf
