,mst_stress_60d,ricci_mean_60d,ricci_min_60d,ricci_std_60d,ga_rotor_magnitude_60d,ga_bivector_energy_60d
mst_stress_60d,1.0,-0.7552930540183547,-0.5448752107293447,-0.4136831974073852,,-0.08094155168741134
ricci_mean_60d,-0.7552930540183547,1.0,0.5066219200805617,0.11237464124000653,,0.016125937687657788
ricci_min_60d,-0.5448752107293447,0.5066219200805617,1.0,0.0031525830529692744,,-0.09661181934855363
ricci_std_60d,-0.4136831974073852,0.11237464124000653,0.0031525830529692744,1.0,,0.07111061146473088
ga_rotor_magnitude_60d,,,,,,
ga_bivector_energy_60d,-0.08094155168741134,0.016125937687657788,-0.09661181934855363,0.07111061146473088,,1.0
