date,horizon,forward_return
2011-07-11,5,0.13012415910502062
2011-07-11,10,0.13071257315226492
2011-07-11,20,0.10325314406032637
2011-07-11,60,-0.16514890402672955
2011-08-04,5,-0.019331296660315633
2011-08-04,10,0.03219344032318383
2011-08-04,20,0.05236184520717324
2011-08-04,60,-0.10523108445096152
2011-08-08,5,-0.0019302131498640795
2011-08-08,10,0.10024377866424183
2011-08-08,20,0.062071423021379024
2011-08-08,60,-0.16894398167426206
2011-10-05,5,0.0803840164722649
2011-10-05,10,0.03084082827136525
2011-10-05,20,0.11914112499031915
2011-10-05,60,-0.08054884984994182
2012-06-25,5,-0.001816964812058064
2012-06-25,10,-0.024238673791741605
2012-06-25,20,-0.026455365317431312
2012-06-25,60,0.25441534440438396
2012-08-03,5,0.009535781968987633
2012-08-03,10,0.007376751239742241
2012-08-03,20,0.1288233107508021
2012-08-03,60,0.1618566799478709
2012-09-05,5,0.029778209250664656
2012-09-05,10,0.06962697361709824
2012-09-05,20,0.07309745929951283
2012-09-05,60,0.04366015198032236
2012-09-07,5,0.02884075870204783
2012-09-07,10,0.02777040224510574
2012-09-07,20,0.026253959961613615
2012-09-07,60,-0.022299527634466854
2012-11-23,5,-0.026589706949031955
2012-11-23,10,-0.03101634825521038
2012-11-23,20,-0.1163554236337
2012-11-23,60,-0.15877577193632664
2015-01-30,5,-0.02989762423477782
2015-01-30,10,0.005002352566838564
2015-01-30,20,-0.04566076507625905
2015-01-30,60,-0.0351907609413773
2015-08-24,5,-0.012532205565977117
2015-08-24,10,-0.0008129036617746666
2015-08-24,20,-0.0008129036617746666
2015-08-24,60,-0.040102967366469455
2018-04-26,5,-0.007642003359145222
2018-04-26,10,0.011644797749680302
2018-04-26,20,0.00806643699358478
2018-04-26,60,-0.06792823751532917
2018-05-10,5,-0.016007205844079553
2018-05-10,10,-0.0035371711138687534
2018-05-10,20,0.0008393248626319405
2018-05-10,60,-0.08321345700758498
2018-05-14,5,-0.0071213055335442865
2018-05-14,10,-0.015992721456187575
2018-05-14,20,0.01683773331927485
2018-05-14,60,-0.0720578945357051
2019-01-25,5,0.015410203748106532
2019-01-25,10,0.008568311595811284
2019-01-25,20,0.0118933353172328
2019-01-25,60,-0.05537439598796978
2019-02-08,5,-0.0031699861462373136
2019-02-08,10,0.0032967759180937417
2019-02-08,20,-0.03651811464274324
2019-02-08,60,-0.05788373299319571
2019-09-16,5,0.03904817320827658
2019-09-16,10,-0.0560303002180329
2019-09-16,20,-0.014915273163429665
2019-09-16,60,-0.07290086954261032
2019-10-11,5,0.0022907407955572445
2019-10-11,10,0.022849626061578476
2019-10-11,20,-0.0388843747163472
2019-10-11,60,0.03584924146791346
2019-11-08,5,0.008937592210862766
2019-11-08,10,0.012035968117742657
2019-11-08,20,-0.01495568991738494
2019-11-08,60,0.059941521464745406
2019-12-06,5,0.02615130952710243
2019-12-06,10,0.03925728558878472
2019-12-06,20,0.11134026965818289
2019-12-06,60,0.052241860727796796
2020-11-09,5,0.046485111124300094
2020-11-09,10,-0.0025754240237028103
2020-11-09,20,0.0421786181905095
2020-11-09,60,0.14055311581532282
2020-12-02,5,-0.003954185842368396
2020-12-02,10,0.039958418608291524
2020-12-02,20,0.09602502187397421
2020-12-02,60,0.11758588169801865
2020-12-16,5,0.03358009902181314
2020-12-16,10,0.0539123509771795
2020-12-16,20,-0.006403836041765643
2020-12-16,60,0.039583762108247544
2021-10-19,5,0.009387349567085757
2021-10-19,10,-0.015170543924492574
2021-10-19,20,0.0453440933099718
2021-10-19,60,-0.029628649716719302
2022-10-17,5,0.026775195765224247
2022-10-17,10,0.024151238019829657
2022-10-17,20,0.18303519902959509
2022-10-17,60,0.2778730396666007
2022-10-31,5,0.09270591985166488
2022-10-31,10,0.15513720543555976
2022-10-31,20,0.1087059070861418
2022-10-31,60,0.23016995698018783
2022-11-04,5,0.041173590919883374
2022-11-04,10,0.0089465564422877
2022-11-04,20,0.06777289212755888
2022-11-04,60,0.13198650122000588
2023-01-24,5,0.004186182195224486
2023-01-24,10,-0.06478073394813588
2023-01-24,20,-0.08406278724856509
2023-01-24,60,0.07268805659733779
2023-03-14,5,0.018012610471221047
2023-03-14,10,0.06361432331876049
2023-03-14,20,0.15846588256250782
2023-03-14,60,0.10647995774938956
2023-04-28,5,0.029761169040876334
2023-04-28,10,-0.040281609158569265
2023-04-28,20,-0.07036284409563498
2023-04-28,60,-0.0069602697129310664
2023-05-17,5,-0.02681883697831078
2023-05-17,10,0.005178477058616737
2023-05-17,20,0.005852135998321462
2023-05-17,60,-0.04664877362995845
2025-06-10,5,0.014996451711435821
2025-06-10,10,-0.012506177404406515
2025-06-10,20,-0.005226809653265718
2025-06-10,60,0.11956103943663332
2025-07-04,5,0.0516926467162071
2025-07-04,10,0.03937452037509881
2025-07-04,20,0.0003262331040816413
2025-07-04,60,0.2674914365106813
2025-07-16,5,0.037645608351640325
2025-07-16,10,-0.007581928616497535
2025-07-16,20,0.01706601583785128
2025-07-16,60,0.2376825530586355
