geometric_regime,mean,std,sharpe,count,annualized_return,annualized_vol
STABLE,0.0010944330067853638,0.018181513395659658,0.06019482443340664,2247,0.27579711770991167,0.28862257742222974
STRESS,0.000516017567281365,0.01877439543013785,0.027485176244504847,763,0.13003642695490397,0.29803428794239367
UNKNOWN,0.00047509081161046775,0.0188326448654761,0.025226982986410008,79,0.11972288452583787,0.29895896906188335
RECOVERY,0.00019706658139204066,0.016933700977520096,0.011637537573956887,621,0.04966077851079424,0.2688141693746972
TRANSITION,-0.004360029390821318,0.033493969052300884,-0.13017356599372046,325,-1.098727406486972,0.5317002751972913
