geometric_regime,mean,std,sharpe,count,annualized_return,annualized_vol
STABLE,0.0005749334665472138,0.02101646539688846,0.027356334935004556,1622,0.14488323356989785,0.3336260452665675
UNKNOWN,0.00047509081161046775,0.0188326448654761,0.025226982986410004,79,0.11972288452583787,0.29895896906188335
RECOVERY,0.0003215625332547835,0.024360353466019818,0.013200240862815484,735,0.08103375838020543,0.38670862272431267
STRESS,0.00022305125763481912,0.015911116711671794,0.014018579693479147,1599,0.056208916923974415,0.2525811474024442
