regime,n,alpha,beta
bear_high,633,0.0012378544568632521,-2.0124617138135434
bear_low,159,-0.000550815697685575,-0.7446128971373347
bear_medium,1248,-0.00021570785806056475,-1.3456244574839151
bull_high,733,-5.822636995814557e-05,-1.5015702722783337
bull_low,96,0.0004913913180446214,-0.512794787222782
bull_medium,1108,0.0013472259311883485,-1.2282910690574296
neutral_high,23,0.00428342316185208,-3.812225541743877
neutral_medium,16,0.0010959666623559122,-1.4701949912961099
neutral_unknown,19,0.0004496915425528554,-2.508231679727541
