geometric_regime,mean_return,volatility,sharpe,count,mean_return_annualized,volatility_annualized
RECOVERY,0.00019706658139204066,0.016933700977520096,0.011637537573956887,621,0.04966077851079424,0.2688141693746972
STABLE,0.0010944330067853638,0.018181513395659658,0.06019482443340664,2247,0.27579711770991167,0.28862257742222974
STRESS,0.0005025407191826146,0.018716119828518864,0.026850689340899795,763,0.1266402612340189,0.2971091914460746
TRANSITION,-0.004360029390821318,0.033493969052300884,-0.13017356599372046,325,-1.098727406486972,0.5317002751972913
UNKNOWN,0.00047509081161046775,0.0188326448654761,0.025226982986410008,79,0.11972288452583787,0.29895896906188335
