date,p_regime_0,p_regime_1,p_regime_2
2010-04-29,0.009212944007467768,0.915174835971267,0.07561222002121495
2010-04-30,0.6526429051702093,0.2380146566999875,0.10934243812975276
2010-05-03,0.07687085790773952,0.8131617124596581,0.10996742963255218
2010-05-04,0.7824425157957478,8.579894609693414e-10,0.2175574833462127
2010-05-05,0.646817598423245,0.12993005978252775,0.22325234179417705
2010-05-06,0.043295791322439756,0.7104201375356385,0.24628407114187162
2010-05-07,1.4305639192676085e-09,0.21394617903147667,0.7860538195379091
2010-05-10,0.1202800092413712,0.0989331209866933,0.7807868697718853
2010-05-11,5.361034798043129e-06,0.1561275747257228,0.8438670642394288
2010-05-12,0.040647868235356606,0.44801432175632827,0.5113378100082647
2010-05-13,0.3964943616944015,0.21441851269233958,0.3890871256132085
2010-05-14,0.18793210480565609,0.49637784786343625,0.3156900473308573
2010-05-17,0.5453911005860282,0.06030219855459901,0.3943067008593224
2010-05-18,0.0006437210561128462,0.6036689720820811,0.39568730686175585
2010-05-19,0.012013719009693263,1.1948860150278354e-07,0.9879861615016547
2010-05-20,0.006937850027885316,0.020973710756276402,0.9720884392157878
2010-05-21,0.023886427132535155,0.11456271781728375,0.8615508550501306
2010-05-24,0.0038701349980724657,0.2980191520500514,0.6981107129518255
2010-05-25,0.2735346881358707,0.07097991930716063,0.6554853925569181
2010-05-26,0.001734480812777823,0.4316945352824448,0.566570983904727
2010-05-27,0.2828706865638207,0.5916972522693236,0.1254320611668052
2010-05-28,0.5700252347750967,0.3425595704217944,0.08741519480305836
2010-06-01,0.17837846434176252,0.7271628137790969,0.09445872187909027
2010-06-02,0.6398347945245958,0.13557713939317728,0.2245880660821768
2010-06-03,0.19912897695664647,0.4966891982466559,0.3041818247966473
2010-06-04,0.419178227900705,0.07409151662866276,0.5067302554705818
2010-06-07,1.11845835730784e-10,0.533502692075249,0.4664973078128545
2010-06-08,0.10254555432328608,0.8200831316446066,0.07737131403205673
2010-06-09,0.9111061062763356,0.0031106433400125517,0.08578325038360124
2010-06-10,0.15284066405511676,0.8217097811446041,0.025449554800228605
2010-06-11,0.7715435048740835,0.2085731766272881,0.01988331849857785
2010-06-14,0.43651667006846867,0.5517115755612141,0.011771754370266814
2010-06-15,0.3100955002935397,0.6817451005504834,0.008159399155926731
2010-06-16,0.9151606008483557,0.05818002216581962,0.02665937698577438
2010-06-17,0.005709088931167733,0.9697372363465075,0.024553674722274436
2010-06-18,0.17961420707297443,0.7827057664051575,0.0376800265218177
2010-06-21,0.9516959218648697,0.0011130901725359217,0.04719098796254415
2010-06-22,0.006723943317724274,0.9796507957149574,0.013625260967268104
2010-06-23,0.9652464883931811,5.043473903976864e-07,0.034753007259378424
2010-06-24,7.495972413160847e-05,0.9758945942572806,0.024030446018537384
2010-06-25,0.11621584138252557,0.7862510015864239,0.09753315703100053
2010-06-28,0.8214753574604343,3.4236145144014546e-05,0.17849040639437186
2010-06-29,0.15863257345720413,0.6614729121834573,0.17989451435928877
2010-06-30,0.013791787961058725,0.38967170697754366,0.5965365050613476
2010-07-01,0.028116749532189355,6.57314303380214e-13,0.9718832504671033
2010-07-02,0.011514467651906037,0.5685853972780489,0.4199001350699947
2010-07-06,0.4511097968962375,0.4163973267559574,0.1324928763477548
2010-07-07,0.29477832992319075,0.686175302443331,0.019046367633428023
2010-07-08,0.8176807915900702,0.16312201270367865,0.019197195706200897
2010-07-09,0.05969263141383378,0.9361616322139932,0.004145736372122743
2010-07-12,0.9263304173263542,0.061401799442789874,0.012267783230805539
2010-07-13,0.022718913017442995,0.973843934371632,0.003437152610874679
2010-07-14,0.8593867874336591,0.12822455852219047,0.012388654044099995
2010-07-15,0.1203885309943552,0.8744272745822604,0.005184194423333963
2010-07-16,0.9705020508482933,5.9207616746822596e-05,0.029438741534909135
2010-07-19,0.7084301549900354,0.2649336191981933,0.026636225811720773
2010-07-20,0.15617917367029918,0.831457792866938,0.01236303346271226
2010-07-21,0.6687912622438767,0.3111319867016911,0.020076751054381604
2010-07-22,0.18049469624771586,0.8129098593463477,0.00659544440588564
2010-07-23,0.8015210419415456,0.1861339338938408,0.012345024164562932
2010-07-26,0.15233508999424078,0.8411188220025699,0.006546088003138599
2010-07-27,0.9655594284679843,0.00022117315321188612,0.03421939837875328
2010-07-28,0.4301632163754259,0.5481417649272508,0.021695018697272778
2010-07-29,0.6060776573783209,0.3714673726420693,0.022454969979559446
2010-07-30,0.03299455078824093,0.9380727635576585,0.02893268565405034
2010-08-02,0.44654797970586896,0.5278546920322452,0.025597328261835285
2010-08-03,0.557120423225999,0.43096818490377914,0.011911391870171359
2010-08-04,0.4426823818956655,0.5510980851719945,0.00621953293228938
2010-08-05,0.5730936609703193,0.42049032272346965,0.006416016306160396
2010-08-06,0.2983970935808319,0.6983970010671523,0.0032059053519653477
2010-08-09,0.8270250867069991,0.1646920899888836,0.008282823304066971
2010-08-10,0.32916945818512355,0.6667890849989008,0.004041456815925527
2010-08-11,0.6548167599124464,0.3362628214017743,0.008920418685729046
2010-08-12,0.07662458349433948,0.9140507899079457,0.009324626597664778
2010-08-13,0.677807794634361,0.30670884768335255,0.015483357682236455
2010-08-16,0.2416115721613354,0.7462684783305445,0.012119949508070155
2010-08-17,0.3966101155442663,0.597103904028105,0.006285980427578605
2010-08-18,0.8340495826899237,0.15475932507531545,0.011191092234710806
2010-08-19,0.1925700001616116,0.8028133059900352,0.004616693848303151
2010-08-20,0.8751755766354498,0.10375206682147331,0.02107235654302677
2010-08-23,0.441158088252841,0.5359845738381281,0.022857337908980695
2010-08-24,0.026682170502283116,0.8549886419029518,0.1183291875947152
2010-08-25,0.0046264932534109526,0.7316860503992803,0.2636874563472589
2010-08-26,0.6520364085322594,0.21699213079086807,0.1309714606768228
2010-08-27,0.2596355923745304,0.7112023350134927,0.029162072611926992
2010-08-30,0.6989562037055804,0.27832428924635355,0.022719507048016046
2010-08-31,0.09832286071443545,0.883856232029255,0.017820907256259587
2010-09-01,0.7551807528982593,0.2210565045660524,0.02376274253563834
2010-09-02,0.272266121272776,0.7075716692692687,0.0201622094579053
2010-09-03,0.41404094666867985,0.5504357275964402,0.03552332573482982
2010-09-07,0.5669801263620697,0.4175550945911461,0.015464779046733993
2010-09-08,0.391420716530269,0.602810299256686,0.005768984212994863
2010-09-09,0.6130846028653633,0.3802932855158297,0.0066221116187570464
2010-09-10,0.45944401831138537,0.5355605614141027,0.004995420274461999
2010-09-13,0.41887106258433665,0.5755144643270057,0.005614473088607534
2010-09-14,0.5556832885966712,0.43753706806271786,0.0067796433405609546
2010-09-15,0.3703791247587607,0.6213447910050304,0.008276084236158963
2010-09-16,0.5339193805367405,0.45780360080307514,0.008277018660134312
2010-09-17,0.4571578821281106,0.5352683498953673,0.007573767976472175
2010-09-20,0.4223666555768221,0.5658541731254919,0.011779171297635914
2010-09-21,0.6641325340725149,0.3016812058677169,0.03418626005971812
2010-09-22,0.10753331107734228,0.8692688963734382,0.023197792549169396
2010-09-23,0.43666442341078915,0.5472466296927913,0.01608894689636936
2010-09-24,0.5024386558831158,0.49072211762465195,0.006839226492181931
2010-09-27,0.4693544560404538,0.5256389630592513,0.005006580900244544
2010-09-28,0.4945412780838475,0.49986388223206146,0.005594839684040657
2010-09-29,0.43058266683223734,0.5643912599806309,0.005026073187081582
2010-09-30,0.6868025506326302,0.3055276441883631,0.00766980517895648
2010-10-01,0.261862243575733,0.7326497364233485,0.005488020000868253
2010-10-04,0.723816634812243,0.2590056595789172,0.017177705608789645
2010-10-05,0.012557276530767195,0.9587676188573764,0.028675104611806314
2010-10-06,0.2964547598795959,0.6921577912674196,0.011387448852934686
2010-10-07,0.9779126786500497,0.0008385539131951704,0.021248767436705222
2010-10-08,7.426379212162131e-05,0.9914767251333989,0.008449011074429746
2010-10-11,0.2566562271974151,0.7300187721818456,0.013325000620689389
2010-10-12,0.9362537121795066,0.03975066075091391,0.023995627069529686
2010-10-13,2.48048211442207e-06,0.9862238332748796,0.013773686242956216
2010-10-14,0.300995990363986,0.6629341347451568,0.03606987489080755
2010-10-15,0.6677782948155243,0.3005642125176592,0.03165749266676681
2010-10-18,0.18132158337246385,0.8065455068114968,0.012132909815989653
2010-10-19,0.9429319973547262,0.02167174004666822,0.03539626259855585
2010-10-20,0.3778281444292772,0.5930043114740527,0.02916754409662035
2010-10-21,0.9377605635255604,0.004814247536979684,0.0574251889374103
2010-10-22,0.23750427864068216,0.7277662303941296,0.03472949096513833
2010-10-25,0.447553259177358,0.49145932438138484,0.06098741644120758
2010-10-26,0.10416030127778327,0.8294994753133479,0.06634022340881925
2010-10-27,0.8762748915123909,0.02670328903611404,0.09702181945144538
2010-10-28,0.07413093872422917,0.8377763795997113,0.08809268167601006
2010-10-29,0.07421479443035282,0.5677622245444304,0.3580229810251675
2010-11-01,0.45637237624040194,0.1980848512331142,0.34554277252643456
2010-11-02,0.05111398930027484,0.5744232862834959,0.37446272441618
2010-11-03,0.1831182743857688,0.01885298154269338,0.7980287440714885
2010-11-04,1.148571736562173e-12,0.10076677159535924,0.8992332284034431
2010-11-05,1.7675791358791582e-05,0.010420351872190134,0.989561972336402
2010-11-08,3.285129598418443e-05,0.001710560838805344,0.9982565878651616
2010-11-09,1.139057871373239e-11,2.769951357556677e-07,0.9999997229934248
2010-11-10,3.8876920167511315e-12,1.8916712012417363e-16,0.9999999999960634
2010-11-11,1.572294031074976e-14,0.051879338946312664,0.9481206610536227
2010-11-12,0.00026614740108354447,9.90886701481501e-09,0.9997338426900005
2010-11-15,4.753924530181125e-06,0.19652352561321645,0.8034717204622046
2010-11-16,0.12601251001419525,0.0037161120934708428,0.8702713778922851
2010-11-17,0.002491953539469015,0.19237403251733326,0.8051340139431491
2010-11-18,0.00013852804711764552,0.00751837588286735,0.9923430960699664
2010-11-19,0.003417713324083025,0.6060524072387226,0.39052987943714573
2010-11-22,0.4524913671222309,0.2668512196287852,0.2806574132489353
2010-11-23,0.17680157492260198,0.6077223427693003,0.21547608230804946
2010-11-24,0.2307299569495305,0.5490648774308877,0.22020516561953346
2010-11-26,0.6271336553886343,0.01934947558316145,0.3535168690281558
2010-11-29,0.001306567284270574,0.6691856774862639,0.3295077552294172
2010-11-30,0.0001807210588223139,0.2644745439606565,0.7353447349804729
2010-12-01,0.15791574804362318,0.6242001748341776,0.21788407712215102
2010-12-02,0.5644844459045447,0.2880767040335312,0.14743885006187588
2010-12-03,0.12451080489446772,0.7348342695213249,0.1406549255841593
2010-12-06,0.45948103991333816,0.30406255830421053,0.23645640178240307
2010-12-07,0.06454281338210094,0.6670710552644029,0.26838613135344813
2010-12-08,0.41978108293601024,1.248230814210317e-08,0.5802189045816335
2010-12-09,5.749698200889567e-06,0.9037223996155908,0.09627185068616022
2010-12-10,0.8633137513163217,0.018379170030597896,0.11830707865303211
2010-12-13,2.7201391563135735e-06,0.9484231909509375,0.05157408890985792
2010-12-14,0.08607023889670827,0.8723118709072085,0.041617890196034985
2010-12-15,0.7749078688355749,0.1686552492968011,0.05643688186757555
2010-12-16,0.7864651682795332,0.15503788830399154,0.058496943416426625
2010-12-17,0.023713634114967453,0.9569354644555085,0.019350901429475334
2010-12-20,0.646821815573315,0.33608851593701633,0.017089668489619986
2010-12-21,0.3772935781171661,0.6157444351704315,0.006961986712353528
2010-12-22,0.5580077645843657,0.43249111389904715,0.00950112151653843
2010-12-23,0.39053282722372734,0.6012332583232786,0.008233914452945395
2010-12-27,0.7123053801583323,0.2668167672735228,0.020877852568096128
2010-12-28,8.506823154074721e-06,0.9448584595745675,0.05513303360222997
2010-12-29,0.3813103482084455,0.596943886366123,0.021745765425382917
2010-12-30,0.8072568896363416,0.16342339865653518,0.029319711707074737
2010-12-31,0.13157800936608047,0.8392586527248759,0.029163337908995217
2011-01-03,0.2935156411996829,0.6245978775413301,0.08188648125893852
2011-01-04,0.824769683710729,1.5793502977586783e-09,0.17523031470987227
2011-01-05,0.20035905719920286,0.7304290509682689,0.06921189183247965
2011-01-06,0.5046179217724959,0.45544898349835633,0.03993309472909938
2011-01-07,0.472653126374215,0.4780256410234069,0.04932123260232967
2011-01-10,0.4679604734329786,0.46131338715361614,0.07072613941335684
2011-01-11,0.07411500990181503,0.7286000638633576,0.19728492623477906
2011-01-12,0.49281429845131647,0.20369310253016717,0.30349259901846815
2011-01-13,0.04894192317918656,0.49796504183662377,0.45309303498414166
2011-01-14,0.14936885219987073,0.014679380613646018,0.8359517671864352
2011-01-18,0.0025483678448053903,0.26088115684248686,0.7365704753126596
2011-01-19,0.06852611860274643,0.12773729127051897,0.8037365901266866
2011-01-20,0.0778458756741138,0.0016714595834858214,0.9204826647423524
2011-01-21,0.04149880032908859,0.43094211020410567,0.527559089466758
2011-01-24,0.24556709029234255,0.5588736063340487,0.19555930337356076
2011-01-25,0.6144635275090777,0.18790670521570477,0.19762976727516973
2011-01-26,0.0983383132495766,0.8050413921096551,0.09662029464072044
2011-01-27,0.7111363617062787,0.1685627893933564,0.12030084890031714
2011-01-28,0.0002187170514129953,0.8311831305025955,0.16859815244594373
2011-01-31,0.6093782553598367,0.3264665760126855,0.06415516862743008
2011-02-01,0.2441011968731503,0.7408792161477106,0.015019586979091611
2011-02-02,0.8425044509606509,0.13243254127940982,0.02506300775989175
2011-02-03,0.001987679319943241,0.9729629470337179,0.025049373646291555
2011-02-04,0.35976342568486863,0.571224225168275,0.06901234914680912
2011-02-07,0.564355912120025,0.35788401106465484,0.07776007681527283
2011-02-08,0.006684669825504491,0.8797222023009986,0.1135931278734496
2011-02-09,0.7723498288392739,0.16817485496970602,0.05947531619097277
2011-02-10,0.20633440134949452,0.7808486563920235,0.012816942258434952
2011-02-11,0.7781925900725905,0.2032241459020478,0.018583264025314593
2011-02-14,0.02793597432997008,0.9500869995938195,0.021977026076163128
2011-02-15,0.4881199385101233,0.4850994930253641,0.026780568464465342
2011-02-16,0.6203711873364902,0.3372554477655522,0.04237336489791031
2011-02-17,0.0048019648957491395,0.8677771932322706,0.12742084187193287
2011-02-18,0.5779513445299647,0.2407833634676349,0.18126529200235303
2011-02-22,0.21738444048792427,0.6568306307730668,0.12578492873896163
2011-02-23,0.4528942736664386,0.4943334723321692,0.05277225400134504
2011-02-24,0.48663578411532893,0.48376288016492364,0.029601335719700146
2011-02-25,0.6365148791076989,0.32593638292371313,0.037548737968540566
2011-02-28,0.010773089321643047,0.9005894633396921,0.08863744733861767
2011-03-01,0.4701053996675996,0.3753524011290989,0.15454219920325435
2011-03-02,0.21752998699985385,0.7341919044135313,0.048278108586567815
2011-03-03,0.8921285080875022,0.04267313289809931,0.06519835901435131
2011-03-04,0.00013190486734982363,0.9537122023963991,0.04615589273620408
