date,from,to
2017-10-16,bear_medium,bear_low
2017-11-01,bear_low,bear_medium
2017-12-19,bear_medium,bear_low
2017-12-22,bear_low,bear_medium
2017-12-28,bear_medium,bear_low
2018-01-16,bear_low,bull_low
2018-01-24,bull_low,bull_medium
2018-02-28,bull_medium,bear_medium
2018-03-20,bear_medium,bear_low
2018-03-21,bear_low,bear_medium
2018-04-20,bear_medium,bull_medium
2018-05-17,bull_medium,bear_medium
2018-05-21,bear_medium,bear_low
2018-05-24,bear_low,bear_medium
2018-05-31,bear_medium,bear_low
2018-06-06,bear_low,bear_medium
2018-06-08,bear_medium,bear_low
2018-06-11,bear_low,bear_medium
2018-06-13,bear_medium,bull_low
2018-06-15,bull_low,bull_medium
2018-06-28,bull_medium,bear_medium
2018-07-16,bear_medium,bear_low
2018-07-19,bear_low,bear_medium
2018-07-30,bear_medium,bear_low
2018-08-15,bear_low,bear_medium
2018-09-14,bear_medium,bear_low
2018-09-17,bear_low,bear_medium
2018-09-18,bear_medium,bear_low
2018-09-19,bear_low,bear_medium
2018-09-21,bear_medium,bear_low
2018-09-28,bear_low,bear_medium
2018-10-02,bear_medium,bear_low
2018-10-08,bear_low,bear_medium
2018-10-26,bear_medium,bear_low
2018-10-29,bear_low,bull_medium
2018-10-30,bull_medium,bull_low
2018-10-31,bull_low,bull_medium
2018-11-23,bull_medium,bear_medium
2018-12-20,bear_medium,bull_medium
2019-01-03,bull_medium,bull_low
2019-02-21,bull_low,bull_medium
2019-02-25,bull_medium,bull_low
2019-02-27,bull_low,bull_medium
2019-03-15,bull_medium,bear_medium
2019-04-05,bear_medium,bear_low
2019-05-03,bear_low,bear_medium
2019-05-10,bear_medium,bear_low
2019-05-16,bear_low,bear_medium
2019-05-22,bear_medium,bear_low
2019-05-23,bear_low,bear_medium
2019-05-31,bear_medium,bear_low
2019-06-10,bear_low,bear_medium
2019-06-17,bear_medium,bear_low
2019-06-18,bear_low,bear_medium
2019-06-25,bear_medium,bull_medium
2019-08-02,bull_medium,bull_low
2019-08-07,bull_low,bull_medium
2019-09-06,bull_medium,bull_high
2019-10-14,bull_high,bull_medium
2019-10-22,bull_medium,bear_medium
2019-10-29,bear_medium,bear_low
2019-11-05,bear_low,bear_medium
2020-01-03,bear_medium,bear_low
2020-01-06,bear_low,bull_low
2020-01-15,bull_low,bull_medium
2020-01-27,bull_medium,bull_low
2020-01-28,bull_low,bull_medium
2020-02-28,bull_medium,bull_high
2020-03-09,bull_high,bear_high
2020-05-18,bear_high,bull_high
2020-05-20,bull_high,bull_medium
2020-05-21,bull_medium,bull_high
2020-06-19,bull_high,bull_medium
2020-07-21,bull_medium,bull_high
2020-10-06,bull_high,bear_high
2020-12-22,bear_high,bull_high
2020-12-30,bull_high,bull_medium
2021-01-04,bull_medium,bull_high
2021-03-03,bull_high,bull_medium
2021-03-04,bull_medium,bull_high
2021-03-05,bull_high,bull_medium
2021-03-16,bull_medium,bull_high
2021-03-22,bull_high,bear_medium
2021-05-07,bear_medium,bull_medium
2021-06-17,bull_medium,bull_high
2021-06-22,bull_high,bull_medium
2021-06-30,bull_medium,bull_high
2021-07-01,bull_high,bear_medium
2021-07-16,bear_medium,bear_low
2021-07-19,bear_low,bear_medium
2021-08-13,bear_medium,bear_high
2021-08-18,bear_high,bear_medium
2021-08-23,bear_medium,bear_high
2021-08-26,bear_high,bear_medium
2021-09-29,bear_medium,bear_high
2021-10-04,bear_high,bear_medium
2021-10-13,bear_medium,bear_high
2021-10-14,bear_high,bear_medium
2021-10-29,bear_medium,bull_medium
2021-12-13,bull_medium,bear_medium
2022-01-27,bear_medium,bear_high
2022-02-04,bear_high,bear_medium
2022-02-07,bear_medium,bull_high
2022-02-10,bull_high,bull_medium
2022-02-14,bull_medium,bull_high
2022-02-16,bull_high,bull_medium
2022-03-09,bull_medium,bull_high
2022-04-06,bull_high,bull_medium
2022-04-29,bull_medium,bear_medium
2022-07-28,bear_medium,bear_high
2022-08-25,bear_high,bear_medium
2022-09-12,bear_medium,bear_high
2022-09-19,bear_high,bear_medium
2022-09-21,bear_medium,bear_high
2022-10-05,bear_high,bull_high
2022-10-18,bull_high,bear_high
2022-10-25,bear_high,bull_high
2022-11-03,bull_high,bear_high
2022-11-04,bear_high,bull_high
2023-01-12,bull_high,bull_medium
2023-01-13,bull_medium,bull_high
2023-01-17,bull_high,bull_medium
2023-02-15,bull_medium,bear_medium
2023-03-13,bear_medium,bear_high
2023-04-04,bear_high,bull_high
2023-04-11,bull_high,bull_medium
2023-06-05,bull_medium,bear_medium
2023-07-26,bear_medium,bull_medium
2023-08-18,bull_medium,bear_medium
2023-09-14,bear_medium,bull_medium
2023-09-21,bull_medium,bear_medium
2023-10-17,bear_medium,bear_high
2023-10-18,bear_high,bear_medium
2023-10-20,bear_medium,bear_high
2023-10-23,bear_high,bear_medium
2023-11-16,bear_medium,bull_medium
2023-12-14,bull_medium,bull_high
2024-01-09,bull_high,bull_medium
2024-01-12,bull_medium,bull_high
2024-01-16,bull_high,bull_medium
2024-01-18,bull_medium,bear_medium
2024-03-11,bear_medium,bull_medium
2024-04-22,bull_medium,bull_high
2024-04-24,bull_high,bull_medium
2024-04-25,bull_medium,bull_high
2024-05-01,bull_high,bull_medium
2024-05-09,bull_medium,bull_high
2024-07-24,bull_high,bull_medium
2024-07-25,bull_medium,bull_high
2024-08-01,bull_high,bear_high
2024-08-02,bear_high,bear_medium
2024-08-05,bear_medium,bear_high
2024-08-14,bear_high,bear_medium
2024-08-15,bear_medium,bear_high
2024-08-22,bear_high,bear_medium
2024-08-23,bear_medium,bear_high
2024-08-27,bear_high,bear_medium
2024-08-28,bear_medium,bear_high
2024-09-03,bear_high,bear_medium
2024-09-05,bear_medium,bear_high
2024-09-16,bear_high,bull_high
2024-10-04,bull_high,bull_medium
2024-10-08,bull_medium,bull_high
2024-10-11,bull_high,bull_medium
2024-10-15,bull_medium,bull_high
2024-10-17,bull_high,bull_medium
2024-10-18,bull_medium,bull_high
2024-11-19,bull_high,bull_medium
2024-11-27,bull_medium,bear_medium
2024-12-19,bear_medium,bear_high
2025-01-03,bear_high,bear_medium
2025-01-06,bear_medium,bear_high
2025-01-08,bear_high,bear_medium
2025-01-17,bear_medium,bear_high
2025-01-21,bear_high,bear_medium
2025-01-31,bear_medium,bull_medium
2025-04-03,bull_medium,bull_high
2025-04-17,bull_high,bear_high
2025-05-05,bear_high,bear_medium
2025-06-02,bear_medium,bull_medium
2025-10-09,bull_medium,bull_high
