date,shock_warning,forward_5d_return
2010-01-04,False,6.8847600592955125
2010-01-05,False,2.5650967281746513
2010-01-06,False,2.0436121567374785
2010-01-07,False,1.6767997119808218
2010-01-08,False,-0.25496168126113505
2010-01-11,False,0.5391415069882992
2010-01-12,False,-2.0882024756770434
2010-01-13,False,-5.7850385270462485
2010-01-14,False,-9.709262109908957
2010-01-15,False,-7.205855591835546
2010-01-19,False,-10.889218501870024
2010-01-20,False,-8.391225627916715
2010-01-21,False,-7.683762925589455
2010-01-22,False,-4.441675716768148
2010-01-25,False,-2.8299344986628263
2010-01-26,False,-0.6551188218090758
2010-01-27,False,-0.7208781554242767
2010-01-28,False,-5.447529987416753
2010-01-29,False,-8.7781317978154
2010-02-01,False,-9.935364070243804
2010-02-02,False,-8.118363426182174
2010-02-03,False,-6.379484208755095
2010-02-04,False,1.609859187969731
2010-02-05,False,4.136427409705208
2010-02-08,False,6.868329370478264
2010-02-09,False,4.231655686359173
2010-02-10,False,4.834813346352772
2010-02-11,False,5.1315747562963265
2010-02-12,False,4.882405363256222
2010-02-16,False,-1.6355948037543904
2010-02-17,False,-0.9863367093913337
2010-02-18,False,0.31085598106690215
2010-02-19,False,0.5286670648997026
2010-02-22,False,1.3896295738830162
2010-02-23,False,7.023419433256607
2010-02-24,False,8.239495128850692
2010-02-25,False,6.290773958397599
2010-02-26,False,5.092350093952074
2010-03-01,False,4.76634767502684
2010-03-02,False,1.5948196499234564
2010-03-03,False,-1.8366288272818005
2010-03-04,False,-0.11664796534651464
2010-03-05,False,-1.965975882740709
2010-03-08,False,-0.9844297978738614
2010-03-09,False,0.08657406806476635
2010-03-10,False,2.9454896267693984
2010-03-11,False,1.5690905496765977
2010-03-12,False,-0.04112669725201412
2010-03-15,False,-0.9587468996322885
2010-03-16,False,-1.8693283257501012
2010-03-17,False,-5.134750425139528
2010-03-18,False,-3.9848263047370622
2010-03-19,False,-0.7254380030073029
2010-03-22,False,2.642087167443199
2010-03-23,False,1.7712002432885707
2010-03-24,False,5.191860848526661
2010-03-25,False,6.643486288664436
2010-03-26,False,6.91744373722251
2010-03-29,False,3.083274223650327
2010-03-30,False,4.896612037238416
2010-03-31,False,3.390917218299965
2010-04-01,False,2.562547480633309
2010-04-05,False,1.6380774781602092
2010-04-06,False,1.7757404602306515
2010-04-07,False,1.197094674182089
2010-04-08,False,1.6858668185998424
2010-04-09,False,-3.727274810652666
2010-04-12,False,-3.7537594230127853
2010-04-13,False,-2.3466548164644285
2010-04-14,False,-1.8148886492101068
2010-04-15,False,-2.294908642472252
2010-04-16,False,2.900524341524956
2010-04-19,False,3.3781145625412505
2010-04-20,False,1.675465370178748
2010-04-21,False,0.18795138999881839
2010-04-22,False,2.971080322901602
2010-04-23,False,2.293583658435491
2010-04-26,False,2.579086606444215
2010-04-27,False,-1.6586255907903822
2010-04-28,False,-3.3469386629911826
2010-04-29,False,-5.861506507516546
2010-04-30,False,-0.9827249824733542
2010-05-03,False,-1.5157028276459525
2010-05-04,False,7.84440052290134
2010-05-05,False,11.473903525863697
2010-05-06,False,10.738212704963722
2010-05-07,False,4.108886557660984
2010-05-10,False,1.632571518308277
2010-05-11,False,-2.1875125626455874
2010-05-12,False,-8.215371673983904
2010-05-13,False,-9.595731684319853
2010-05-14,False,-8.535567706922384
2010-05-17,False,-4.634551545679413
2010-05-18,False,-5.966043672579646
2010-05-19,False,1.1049240676152114
2010-05-20,False,4.221812914863313
2010-05-21,False,4.3289528226887715
2010-05-24,False,3.055933243946284
2010-05-25,False,3.0001992174325762
2010-05-26,False,-2.0546383981410345
2010-05-27,False,-6.531538936129921
2010-05-28,False,-1.411244436711944
2010-06-01,False,-0.3891082565989041
2010-06-02,False,-0.6797556345065338
2010-06-03,False,2.327604875442421
2010-06-04,False,5.250130934426771
2010-06-07,False,1.3623547993773386
2010-06-08,False,0.5454009813297973
2010-06-09,False,1.3766135930001449
2010-06-10,False,2.290655832029543
2010-06-11,False,5.0977645474352755
2010-06-14,False,2.1503872013471375
2010-06-15,False,1.7456717843709637
2010-06-16,False,0.1192933323199627
2010-06-17,False,-0.1920065502197959
2010-06-18,False,-0.36572505266306043
2010-06-21,False,-0.6884601376597195
2010-06-22,False,-1.6111313961922331
2010-06-23,False,1.1690317859710404
2010-06-24,False,-5.323120292526612
2010-06-25,False,-7.64984206798202
2010-06-28,False,-4.602796447625154
2010-06-29,False,-3.3634525411636833
2010-06-30,False,-4.4855986054270565
2010-07-01,False,1.6363097610686612
2010-07-02,False,1.1181428967893003
2010-07-06,False,2.2401786922321136
2010-07-07,False,1.6274878525066274
2010-07-08,False,2.729609708895221
2010-07-09,False,-1.563135593307969
2010-07-12,False,-2.049118943388912
2010-07-13,False,-3.0735678201381074
2010-07-14,False,-2.6393183465461316
2010-07-15,False,-1.267129197116649
2010-07-16,False,1.8010464346030115
2010-07-19,False,3.700493849898004
2010-07-20,False,-0.3625403419586542
2010-07-21,False,-2.129491858794549
2010-07-22,False,-2.8784602636475127
2010-07-23,False,-0.6041708875660655
2010-07-26,False,1.1366873878267687
2010-07-27,False,4.3639615628966695
2010-07-28,False,4.708599023797487
2010-07-29,False,3.938244455338672
2010-07-30,False,2.5902788987817593
2010-08-02,False,-0.9499950596731177
2010-08-03,False,-1.4280858966387695
2010-08-04,False,-2.0635318542281653
2010-08-05,False,-1.4026305566816346
2010-08-06,False,-1.9805851163910864
2010-08-09,False,1.031466995938821
2010-08-10,False,2.3958487241555195
2010-08-11,False,2.756514202319619
2010-08-12,False,1.4572378234295376
2010-08-13,False,-0.6374908343958899
2010-08-16,False,-2.390155138013451
2010-08-17,False,-1.1744200022898363
2010-08-18,False,3.3789164942337773
2010-08-19,False,3.539622102412497
2010-08-20,False,5.71182066540766
2010-08-23,False,5.701013128714627
2010-08-24,False,5.450557202157688
2010-08-25,False,1.7561218630698654
2010-08-26,False,3.418604229057895
2010-08-27,False,4.498377887183761
2010-08-30,False,4.342807867409336
2010-08-31,False,2.946169524636982
2010-09-01,False,2.3231327965414614
2010-09-02,False,0.8316455400826261
2010-09-03,False,0.9743971529856088
2010-09-07,False,2.5718807518411357
2010-09-08,False,2.783986164119968
2010-09-09,False,4.5916577274199515
2010-09-10,False,4.868920089480276
2010-09-13,False,3.2629392090855127
2010-09-14,False,1.067764565672746
2010-09-15,False,2.3763660530382524
2010-09-16,False,2.1412840032409943
2010-09-17,False,2.8124040784080764
2010-09-20,False,3.2111088661424856
2010-09-21,False,5.049758024351767
2010-09-22,False,4.157477836092413
2010-09-23,False,2.810010359533928
2010-09-24,False,3.0126701950631274
2010-09-27,False,2.5675495225199763
2010-09-28,False,4.6222405838988765
2010-09-29,False,4.855342245800604
2010-09-30,False,3.4581819079175036
2010-10-01,False,4.654679528216672
2010-10-04,False,5.814971145367289
2010-10-05,False,1.8105723507289186
2010-10-06,False,3.8100619814165704
2010-10-07,False,7.887954656743082
2010-10-08,False,5.0053712278828275
2010-10-11,False,4.467722608569171
2010-10-12,False,2.7084599046528544
2010-10-13,False,-0.2763704532993456
2010-10-14,False,-5.445184531660619
2010-10-15,False,-4.8409112804047565
2010-10-18,False,-3.5589110148917054
