regime,n,alpha,beta
bear_high,633,0.0012378544568632517,-2.012461713813541
bear_low,159,-0.000550815697685575,-0.7446128971373347
bear_medium,1248,-0.00021570785806056478,-1.3456244574839165
bull_high,733,-5.8226369958145697e-05,-1.5015702722783308
bull_low,96,0.0004913913180446214,-0.512794787222782
bull_medium,1108,0.0013472259311883487,-1.228291069057431
neutral_high,23,0.00428342316185208,-3.812225541743877
neutral_medium,16,0.0010959666623559122,-1.4701949912961096
neutral_unknown,19,0.00044969154255285453,-2.5082316797275404
