regime,n,mean,vol,skew,kurt,sharpe
RECOVERY,435,7.745698718165744e-05,0.018622299293228978,-2.5704659396454885,29.114963367099072,0.0660279127169316
RECOVERY_STRONG,149,0.0005266483807092064,0.012181636040921364,-0.1581201404968305,1.9384551104792442,0.6863022203507095
SHOCK_STRESS,233,0.0040639697556176515,0.02517308577765273,-0.0757203881379072,2.9819456962560467,2.562797442639511
STABLE,1089,0.0010777388869864584,0.01697735544462981,-0.7533451392930814,4.999365040609915,1.0077290597570652
STABLE_REVERTING,497,0.00031120442058395073,0.02282185178685873,-0.7725123115305229,4.302404423536671,0.2164687190484331
STABLE_TRENDING,501,0.00017619920685344923,0.011461172952709141,0.17121515804873558,1.4809844376037407,0.2440479440269825
STRESS,527,0.00022214061658731442,0.01436864178303243,0.11440337868270303,1.5249704218354814,0.2454214544915239
STRESS_REVERTING,209,0.0009404536032208417,0.026657995583969682,-0.044896750602272405,1.8543150404676298,0.5600285316004477
TRANSITION,254,-0.0039968719142462,0.034675395760151946,-0.30658107980410704,0.1296042240856985,-1.8297808360289274
TRANSITION_TRENDING,62,-0.003646621138487418,0.02279854627673871,0.03384749266792078,-0.8767296701448677,-2.5391231197805317
UNKNOWN,79,0.0004750908116104675,0.018832644865476103,-0.7157659699317361,1.0687261552155207,0.40046593986299045
