date,silver_close,log_return_1d
2012-08-16,28.20499992370605,0.014283392871860628
2012-08-17,27.9950008392334,-0.007473311708129152
2012-08-20,28.586000442504883,0.020891150187868756
2012-08-21,29.42099952697754,0.028791586033877967
2012-08-22,29.54899978637696,0.004341206101914596
2012-08-23,30.44700050354004,0.029937588570546687
2012-08-24,30.606000900268555,0.0052086139105788345
2012-08-27,31.03899955749512,0.014048366461177266
2012-08-28,30.86899948120117,-0.005492036771832868
2012-08-29,30.83099937438965,-0.0012317702535173125
2012-08-30,30.367000579833984,-0.015164145439266068
2012-08-31,31.3700008392334,0.032495537375146155
2012-09-04,32.347999572753906,0.030700133070445345
2012-09-05,32.27199935913086,-0.002352220672278846
2012-09-06,32.61899948120117,0.010694963425425858
2012-09-07,33.632999420166016,0.030612785820617293
2012-09-10,33.57400131225586,-0.0017557136138343084
2014-11-06,15.392000198364258,-0.0016877655764974667
2014-11-07,15.699000358581545,0.019749132088382575
2014-11-10,15.656999588012695,-0.0026789638831362476
2014-11-11,15.663999557495115,0.000446982522265437
2014-11-12,15.619000434875488,-0.0028769078200451773
2014-11-13,15.616999626159668,-0.00012810915063686396
2014-11-14,16.309999465942383,0.043418343321068406
2014-11-17,16.05299949645996,-0.015882667258810726
2014-11-18,16.170000076293945,0.007261961677327117
2014-11-19,16.290000915527344,0.00739380050849786
2014-11-20,16.132999420166016,-0.009684651072612883
2014-11-21,16.391000747680664,0.015865621579398494
2014-11-24,16.37700080871582,-0.0008544884736157378
2014-11-25,16.554000854492188,0.010749855232751323
2014-11-26,16.54800033569336,-0.0003625471964718263
2014-11-28,15.48900032043457,-0.06613515363170173
2014-12-01,16.648000717163086,0.07216001691586349
2014-12-02,16.408000946044922,-0.014521053741746764
2014-12-03,16.358999252319336,-0.002990919520130712
2014-12-04,16.520000457763672,0.009793636895009545
2016-10-20,17.50200080871582,-0.006492329483983607
2016-10-21,17.447999954223633,-0.0030901800449503383
2016-10-24,17.562000274658203,0.006512466301410459
2016-10-25,17.736000061035156,0.009858983178174806
2016-10-26,17.584999084472656,-0.008550261892351472
2016-10-27,17.604000091552734,0.0010799402865494712
2016-10-28,17.761999130249023,0.008935140719837737
2016-10-31,17.761999130249023,0.0
2016-11-01,18.38500022888184,0.034473832333254094
2016-11-02,18.65999984741211,0.014847060039311487
2016-11-03,18.382999420166016,-0.014955894283050318
2016-11-04,18.34199905395508,-0.002232832400192325
2016-11-07,18.124000549316406,-0.01195640344500781
2016-11-09,18.35700035095215,0.0014719345773089787
2016-11-10,18.715999603271484,0.019367759540000033
2018-12-27,15.190999984741213,0.012386333324069274
2018-12-28,15.326000213623049,0.008847600265753541
2018-12-31,15.43299961090088,0.0069573022197268524
2019-01-02,15.541999816894531,0.007037976299174434
2019-01-03,15.706000328063965,0.010496800834775997
2019-01-04,15.69499969482422,-0.0007006549907174708
2019-01-07,15.668999671936035,-0.0016579536646401222
2019-01-08,15.62600040435791,-0.0027479977333340682
2019-01-09,15.652999877929688,0.0017263646557584096
2019-01-10,15.560999870300291,-0.005894808405109234
