,RECOVERY,STABLE,STRESS,TRANSITION,UNKNOWN
RECOVERY,0.42351046698872785,0.47342995169082125,0.028985507246376812,0.07407407407407407,0.0
STABLE,0.1272808188696039,0.7797062750333779,0.022696929238985315,0.07031597685803294,0.0
STRESS,0.04199475065616798,0.03805774278215223,0.8976377952755905,0.02230971128608924,0.0
TRANSITION,0.12307692307692308,0.5261538461538462,0.03076923076923077,0.32,0.0
UNKNOWN,0.0,0.0125,0.0,0.0,0.9875
