regime,n,mean,vol,skew,kurt,sharpe
RECOVERY,621,0.00019706658139204074,0.016933700977520106,-2.4112637776902126,30.18178299978456,0.18474018176315926
STABLE,2247,0.0010944330067853638,0.018181513395659658,-0.4989970591062756,5.318477080137598,0.9555632139839306
STRESS,763,0.0005025407191826146,0.01871611982851886,0.05686889848354055,3.6240601916681974,0.4262414791600419
TRANSITION,325,-0.004360029390821318,0.03349396905230089,-0.32431433265079274,0.40344619538830084,-2.066441297363032
UNKNOWN,79,0.0004750908116104675,0.018832644865476103,-0.7157659699317361,1.0687261552155207,0.40046593986299045
