asset,geometric_distance
SI=F,0.0
JNK,inf
EMB,inf
MUB,inf
TIP,inf
RINF,inf
DBC,inf
GSG,inf
SPY,inf
HYG,inf
QQQ,inf
EFA,inf
EEM,inf
XLF,inf
^VIX,inf
^VXN,inf
DX-Y.NYB,inf
UUP,inf
FXE,inf
IWM,inf
FXY,inf
LQD,inf
SHY,inf
SLV,inf
SIVR,inf
SIL,inf
SILJ,inf
GC=F,inf
GLD,inf
HG=F,inf
CL=F,inf
IEF,inf
BZ=F,inf
USO,inf
XLE,inf
OIH,inf
^IRX,inf
^FVX,inf
^TNX,inf
^TYX,inf
TLT,inf
NG=F,inf
FXA,inf
